0,0.109375,0.125,0.140625,0.15625,0.171875,0.1875,0.203125,0.21875,0.234375,0.25,0.265625,0.28125,0.296875,0.3125,0.328125,0.34375,0.359375,0.375,0.390625,0.40625,0.421875,0.4375,0.453125,0.46875,0.484375,0.5
416,1.8,1.8111111,1.8222222,1.8333333,1.8444444,1.8555556,1.8666667,1.8777778,1.8888889,1.9,1.8,1.7,1.6,1.5,1.6,1.7,1.7,1.7,1.6666667,1.6333333,1.6,1.5666667,1.5333333,1.5,1.5,1.5
418,2.3,2.3111111,2.3222222,2.3333333,2.3444444,2.3555556,2.3666667,2.3777778,2.3888889,2.4,2.275,2.15,2.025,1.9,2,2.1,2.15,2.2,2.1333333,2.0666667,2,1.9333333,1.8666667,1.8,1.8,1.8
420,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.475,2.35,2.225,2.1,2.25,2.4,2.4,2.4,2.3333333,2.2666667,2.2,2.1333333,2.0666667,2,2,2
422,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.475,2.35,2.225,2.1,2.3,2.5,2.45,2.4,2.3333333,2.2666667,2.2,2.1333333,2.0666667,2,2,2
424,2.7,2.6888889,2.6777778,2.6666667,2.6555556,2.6444444,2.6333333,2.6222222,2.6111111,2.6,2.475,2.35,2.225,2.1,2.15,2.2,2.25,2.3,2.2333333,2.1666667,2.1,2.0333333,1.9666667,1.9,1.9,1.9
426,2.6,2.5777778,2.5555556,2.5333333,2.5111111,2.4888889,2.4666667,2.4444444,2.4222222,2.4,2.275,2.15,2.025,1.9,2.05,2.2,2.15,2.1,2.0166667,1.9333333,1.85,1.7666667,1.6833333,1.6,1.7,1.8
428,2.2,2.1777778,2.1555556,2.1333333,2.1111111,2.0888889,2.0666667,2.0444444,2.0222222,2,1.875,1.75,1.625,1.5,1.65,1.8,1.8,1.8,1.7333333,1.6666667,1.6,1.5333333,1.4666667,1.4,1.55,1.7
430,1.8,1.7777778,1.7555556,1.7333333,1.7111111,1.6888889,1.6666667,1.6444444,1.6222222,1.6,1.525,1.45,1.375,1.3,1.4,1.5,1.5,1.5,1.4666667,1.4333333,1.4,1.3666667,1.3333333,1.3,1.45,1.6
432,1.4,1.3777778,1.3555556,1.3333333,1.3111111,1.2888889,1.2666667,1.2444444,1.2222222,1.2,1.175,1.15,1.125,1.1,1.15,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.45,1.6
434,1.2,1.2111111,1.2222222,1.2333333,1.2444444,1.2555556,1.2666667,1.2777778,1.2888889,1.3,1.275,1.25,1.225,1.2,1.2,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.5
436,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.425,1.35,1.275,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.25,1.2
438,1.8,1.7777778,1.7555556,1.7333333,1.7111111,1.6888889,1.6666667,1.6444444,1.6222222,1.6,1.5,1.4,1.3,1.2,1.3,1.4,1.35,1.3,1.2833333,1.2666667,1.25,1.2333333,1.2166667,1.2,1.1,1
440,1.8,1.7777778,1.7555556,1.7333333,1.7111111,1.6888889,1.6666667,1.6444444,1.6222222,1.6,1.5,1.4,1.3,1.2,1.3,1.4,1.4,1.4,1.3833333,1.3666667,1.35,1.3333333,1.3166667,1.3,1.3,1.3
442,1.7,1.6777778,1.6555556,1.6333333,1.6111111,1.5888889,1.5666667,1.5444444,1.5222222,1.5,1.45,1.4,1.35,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.7
444,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.65,1.7,1.75,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.95,2.1
446,1.6,1.6222222,1.6444444,1.6666667,1.6888889,1.7111111,1.7333333,1.7555556,1.7777778,1.8,1.825,1.85,1.875,1.9,1.95,2,2.05,2.1,2.1166667,2.1333333,2.15,2.1666667,2.1833333,2.2,2.35,2.5
448,1.7,1.7333333,1.7666667,1.8,1.8333333,1.8666667,1.9,1.9333333,1.9666667,2,2.025,2.05,2.075,2.1,2.2,2.3,2.3,2.3,2.3166667,2.3333333,2.35,2.3666667,2.3833333,2.4,2.55,2.7
450,1.8,1.8333333,1.8666667,1.9,1.9333333,1.9666667,2,2.0333333,2.0666667,2.1,2.125,2.15,2.175,2.2,2.25,2.3,2.35,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.6
452,1.8,1.8333333,1.8666667,1.9,1.9333333,1.9666667,2,2.0333333,2.0666667,2.1,2.075,2.05,2.025,2,2.05,2.1,2.15,2.2,2.1833333,2.1666667,2.15,2.1333333,2.1166667,2.1,2.2,2.3
454,1.7,1.7222222,1.7444444,1.7666667,1.7888889,1.8111111,1.8333333,1.8555556,1.8777778,1.9,1.85,1.8,1.75,1.7,1.75,1.8,1.65,1.5,1.5333333,1.5666667,1.6,1.6333333,1.6666667,1.7,1.8,1.9
456,1.4,1.4222222,1.4444444,1.4666667,1.4888889,1.5111111,1.5333333,1.5555556,1.5777778,1.6,1.55,1.5,1.45,1.4,1.45,1.5,1.5,1.5,1.4833333,1.4666667,1.45,1.4333333,1.4166667,1.4,1.5,1.6
458,1.2,1.2333333,1.2666667,1.3,1.3333333,1.3666667,1.4,1.4333333,1.4666667,1.5,1.45,1.4,1.35,1.3,1.4,1.5,1.5,1.5,1.4833333,1.4666667,1.45,1.4333333,1.4166667,1.4,1.5,1.6
460,1.5,1.5444444,1.5888889,1.6333333,1.6777778,1.7222222,1.7666667,1.8111111,1.8555556,1.9,1.85,1.8,1.75,1.7,1.8,1.9,1.95,2,1.9666667,1.9333333,1.9,1.8666667,1.8333333,1.8,1.95,2.1
